Kristiansand;MC dekk;MI901841;1;1673;Michelin;Starcross 6 Med/Soft;120;90;18;TT Medium Soft (Motorsport only - NHS);65;M;16
Oslo;Alufelger;AACAQ95940-0DGMB18;20;6990;ASGA;Camar 9,5";5;120;23;DGM/Brush (1025 Kg);ET40;72.6;0
Oslo;Sommerdekk;FA326172;8;3122;Falken;Azenis FK510;285;35;18;EU:D-A-71dB(A);101;Y;20
Tønsberg;MC dekk;MI184399;1;2687;Michelin;Anakee Road;120;70;19;Front TL/TT;60;W;16
Jæren;Sommerdekk;WL6938112624293;20;1022;Westlake;ZuperEco Z-107;205;45;16;EU:D-B-72dB(B);87;W;20
Jæren;Traktordekk;TL122042;4;16658;Tianli;R1W AG Radial;460;85;34;TL;157;A8;625
Oslo;M+S;GRI9121012;1;2144;Gripmax;Stature M/S;235;55;18;EU:C-C-72dB(B);104;H;20
Oslo;M+S;SV3220012070;4;2077;Sailun;Ice Blazer Alpine Evo 1;235;65;17;EU:C-B-72dB(B);108;H;20
Tønsberg;M+S Pigg;NOTS32454;4;4802;Nokian;Hakkapeliitta 10;255;40;19;EU:;100;T;20
Oslo;Sommerdekk;FA352615;14;3955;Falken;Azenis FK520;275;30;20;EU:C-A-70dB(A);97;Y;20
Jæren;Sommerdekk;FA352632;12;3522;Falken;Azenis FK520;275;45;20;EU:C-A-70dB(A);110;Y;20
Bergen;Sommerdekk;SV3220004933;18;1033;Sailun;Atrezzo Elite;195;60;15;EU:D-B-70dB(B);88;V;20
Oslo;M+S;SV3220012063;2;1500;Sailun;Ice Blazer Alpine Evo 1;215;70;16;EU:D-B-72dB(B);100;H;20
Tønsberg;ATV-dekk;WD350271212;1;2454;Wanda;P350;27;12;12;TL Pr.6 (E4);80;J;16
Oslo;Sommerdekk;WL6938112632908;8;947;Westlake;ZuperEco Z-107;215;70;15;EU:C-B-71dB(B);98;H;20
Bergen;MC dekk;MZ4335400;5;3953;Metzeler;Roadtec 02 (1 gen) O = forsterket;190;55;17;Rear TL Sport Touring;75;W;16
Tønsberg;M+S Pigg;NOTSF00028;3;6320;Nokian;Hakkapeliitta 10 EV SilentDrive;285;40;21;EU:;109;T;20
Kristiansand;Alufelger;PHEMIN834-0B13B2;20;2175;PH Edition II;Miles 8";5;112;19;Gloss Black (895 Kg);ET34;66,6;0
Oslo;Alufelger;CMSC246054026SCS;20;2015;CMS;C24 6";4;100;15;Silver (600 Kg) NORA01676;ET40;54.1;0
Kristiansand;Alufelger;SETD230-0HS5S;20;1205;Sento;X-Load 4.5";4;100;13;Hyper Silver (800 Kg);ET30;57,1;0
