Oslo;Alufelger;SLS0057V2;4;2945;PH Edition II;"Turbin 8,5""";5;112;21;Matt Black (900 Kg);ET40;57,1;0
Oslo;Alufelger;SLS0165V1;20;2945;PH Edition II;"Turbin 9""";5;112;21;Matt Black (900 Kg);ET42;57,1;0
Tønsberg;SLS0165V1;SLS0165V1;9;1416;Michelin;Enduro 2 Medium;90;90;21;Front TT (Motorsport only - NHS);54;R;16
Jæren;Sommerdekk;SLS0057V4;10;2288;Minerva;F205;265;40;20;EU:C-B-71dB(B);104;Y;20
